"","X","metric","Authors","subgroup","group","group_general","tissue","n_male","n_female","mean_female","mean_male","sd_female","sd_male","yi","vi","Protocol","genotype_intervention","hormonal_intervention","colitis_intervention","dietary_intervention","control"
"353",313,"Unweighted Unifrac","Weng et al. 2019","APOE4_APP transgene -","genotype (prime Alzheimer)","genotype","fecal",32,24,0.447283109,0.445418669,0.099852026,0.04553203,-0.024932673,0.072922615,"Weng","yes","no","no","no","treatment"
"354",209,"Unweighted Unifrac","Wolfe et al. 2020","Smad3-/-_healthy_SFB-_fecal","genotype (deficient immunity)","genotype","fecal",158,135,0.492400721,0.473367634,0.066656874,0.073844593,-0.268797067,0.013861416,"Wolfe","yes","no","no","no","treatment"
"355",213,"Unweighted Unifrac","Wolfe et al. 2020","Smad3-/-_healthy_SFB+_fecal","genotype (deficient immunity), microbe intervention","genotype, microbe intervention","fecal",156,49,0.46794834,0.452511693,0.050907529,0.050213117,-0.305281659,0.027049964,"Wolfe","yes","no","no","no","treatment"
"356",217,"Unweighted Unifrac","Wolfe et al. 2020","Smad3-/-_CRC_SFB-_fecal","genotype (deficient immunity), colitis and inflammatory intervention","genotype, colitis and inflammatory intervention","fecal",34,83,0.493091763,0.452902267,0.065709312,0.073452788,-0.586971293,0.042981062,"Wolfe","yes","no","yes","no","treatment"
"357",221,"Unweighted Unifrac","Wolfe et al. 2020","Smad3-/-_CRC_SFB+_fecal","genotype (deficient immunity), colitis and inflammatory intervention, microbe intervention","genotype, colitis and inflammatory intervention, microbe intervention","fecal",10,68,0.490447249,0.428287491,0.074591341,0.033716002,-0.866936396,0.119766846,"Wolfe","yes","no","yes","no","treatment"
"358",225,"Unweighted Unifrac","Wolfe et al. 2020","Smad3-/-_CRC_SFB-_cecal","genotype (deficient immunity), colitis and inflammatory intervention","genotype, colitis and inflammatory intervention","cecal",2,7,0.470235291,0.336110996,0.053915669,0,-2.386591221,1.181597267,"Wolfe","yes","no","yes","no","treatment"
"359",229,"Unweighted Unifrac","Wolfe et al. 2020","Smad3-/-_healthy_SFB-_cecal","genotype (deficient immunity)","genotype","cecal",15,10,0.469030101,0.412774178,0.064615985,0.06375423,-0.848736432,0.183609058,"Wolfe","yes","no","no","no","treatment"
"360",233,"Unweighted Unifrac","Wolfe et al. 2020","Smad3-/-_healthy_SFB+_cecal","genotype (deficient immunity), microbe intervention","genotype, microbe intervention","cecal",15,5,0.368176225,0.405373164,0.015628101,0.043780785,0.906225032,0.291917563,"Wolfe","yes","no","no","no","treatment"
"361",237,"Unweighted Unifrac","Wolfe et al. 2020","Smad3-/-_CRC_SFB+_cecal","genotype (deficient immunity), colitis and inflammatory intervention, microbe intervention","genotype, colitis and inflammatory intervention, microbe intervention","cecal",1,7,0.415464641,0,0.070046918,NA,NA,NA,"Wolfe","yes","no","yes","no","treatment"
"362",477,"Unweighted Unifrac","Zajac et al. 2022","APOE4/E4_fecal","genotype (prime Alzheimer)","genotype","fecal",15,19,0.328787265,0.305576392,0.095369085,0.045076214,-0.292440902,0.120711535,"Zajac","yes","no","no","no","treatment"
"363",481,"Unweighted Unifrac","Zajac et al. 2022","APOE2/E3_fecal","genotype (neuroprotective against Alzheimer to neutral)","genotype","fecal",21,36,0.336881142,0.30309494,0.040188482,0.033031311,-0.882887346,0.082715495,"Zajac","yes","no","no","no","treatment"
"364",485,"Unweighted Unifrac","Zajac et al. 2022","APOE3/E4_fecal","genotype (neutral to prime Alzheimer)","genotype","fecal",32,23,0.321116551,0.324264651,0.038134312,0.039556977,0.079627575,0.074790115,"Zajac","yes","no","no","no","treatment"
"365",489,"Unweighted Unifrac","Zajac et al. 2022","APOE3_fecal","genotype (neutral)","genotype","fecal",6,7,0.280808353,0.303357652,0.022180097,0.018142248,1.025735177,0.366269465,"Zajac","yes","no","no","no","treatment"
"366",493,"Unweighted Unifrac","Zajac et al. 2022","APOE2/E2_fecal","genotype (neuroprotective against Alzheimer)","genotype","fecal",15,21,0.336564565,0.345611059,0.053608984,0.043609996,0.177843933,0.114775989,"Zajac","yes","no","no","no","treatment"
"367",497,"Unweighted Unifrac","Zajac et al. 2022","APOE2/E2_cecal","genotype (neuroprotective against Alzheimer)","genotype","cecal",5,6,0.291075181,0.322416279,0.069745567,0.062786537,0.429140742,0.379321568,"Zajac","yes","no","no","no","treatment"
"368",501,"Unweighted Unifrac","Zajac et al. 2022","APOE4/E4_small bowel","genotype (prime Alzheimer)","genotype","small bowel",3,3,0.200425808,0.281795852,0.038188651,0.128263702,0.686076302,0.7676799,"Zajac","yes","no","no","no","treatment"
"369",505,"Unweighted Unifrac","Zajac et al. 2022","APOE3/E3_fecal","genotype (neutral)","genotype","fecal",41,15,0.338770971,0.345100102,0.033085706,0.048034629,0.139794611,0.091243908,"Zajac","yes","no","no","no","treatment"
"370",509,"Unweighted Unifrac","Zajac et al. 2022","APOE4_fecal","genotype (prime Alzheimer)","genotype","fecal",7,7,0.263071653,0.26284248,0.051413608,0.030466713,-0.005075703,0.28571554,"Zajac","yes","no","no","no","treatment"
"371",513,"Unweighted Unifrac","Zajac et al. 2022","APOE2_fecal","genotype (neuroprotective against Alzheimer)","genotype","fecal",8,7,0.275896087,0.285494482,0.067080151,0.073339342,0.128076839,0.268585101,"Zajac","yes","no","no","no","treatment"
"372",517,"Unweighted Unifrac","Zajac et al. 2022","APOE2/E3_cecal","genotype (neuroprotective against Alzheimer to neutral)","genotype","cecal",7,10,0.316434375,0.254978335,0.052857388,0.065071641,-1.004650086,0.280903569,"Zajac","yes","no","no","no","treatment"
"373",521,"Unweighted Unifrac","Zajac et al. 2022","APOE2/E2_small bowel","genotype (neuroprotective against Alzheimer)","genotype","small bowel",2,3,0.503851039,0.172766333,0.083348813,0,-3.520340233,5.33663013,"Zajac","yes","no","no","no","treatment"
"374",525,"Unweighted Unifrac","Zajac et al. 2022","APOE3/E3_cecal","genotype (neutral)","genotype","cecal",13,5,0.293024074,0.322722241,0.070965347,0.028666712,0.653041211,0.291872701,"Zajac","yes","no","no","no","treatment"
"375",529,"Unweighted Unifrac","Zajac et al. 2022","APOE3/E4_cecal","genotype (neutral to prime Alzheimer)","genotype","cecal",10,8,0.303218362,0.274443934,0.034260431,0.096379742,-0.361705953,0.229586278,"Zajac","yes","no","no","no","treatment"
"376",533,"Unweighted Unifrac","Zajac et al. 2022","APOE4/E4_cecal","genotype (prime Alzheimer)","genotype","cecal",5,4,0.264514119,0.278371998,0.044772589,0.069430361,0.204753622,0.453965395,"Zajac","yes","no","no","no","treatment"
"377",537,"Unweighted Unifrac","Zajac et al. 2022","APOE3/E3_small bowel","genotype (neutral)","genotype","small bowel",4,2,0.192745932,0.351446516,0,0.142961345,1.022749623,0.974477125,"Zajac","yes","no","no","no","treatment"
"378",77,"Unweighted Unifrac","Zou et al. 2021","High fat chow","dietary intervention","dietary intervention","fecal",5,5,0.287219708,0.179800574,0.07183903,0.024183771,-1.809131672,0.660565138,"Zou","no","no","no","yes","treatment"
"379",81,"Unweighted Unifrac","Zou et al. 2021","Glrx1 KO + Standard chow","genotype (pro-inflammation), dietary intervention","genotype, dietary intervention","fecal",2,3,0.266466407,0.234048045,0.042392133,0,-0.67772067,1.0002358,"Zou","yes","no","no","yes","treatment"
"380",85,"Unweighted Unifrac","Zou et al. 2021","Glrx1 KO + High fat chow","genotype (pro-inflammation), dietary intervention","genotype, dietary intervention","fecal",4,4,0.239029102,0.266690134,0.076714903,0.089608069,0.288056935,0.509660745,"Zou","yes","no","no","yes","treatment"
"381",89,"Unweighted Unifrac","Zou et al. 2021","Control","control","control","fecal",4,4,0.235067786,0.247068082,0.035531047,0.079484346,0.169316516,0.503337741,"Zou","no","no","no","no","control"
"382",126,"Weighted Unifrac","Cheema & Pluznick 2019","Ang II infusion","increased blood pressure (cardiovascular disease model)","drug treatment","fecal",3,3,0.008861962,0.005397656,0.003539397,0.002295428,-0.926629561,0.850932891,"Cheema","no","no","no","no","treatment"
"383",130,"Weighted Unifrac","Cheema & Pluznick 2019","Control","control","control","fecal",3,3,0.027283966,0.018189556,0.04242973,0.022681084,-0.213295142,0.676429938,"Cheema","no","no","no","no","control"
"384",18,"Weighted Unifrac","Ellis et al. 2021","2H7MK9_cecal","dietary intervention","dietary intervention","cecal",7,7,0.016488351,0.006933176,0.005810016,0.001808273,-2.078491841,0.496070955,"Ellis","no","no","no","yes","treatment"
"385",22,"Weighted Unifrac","Ellis et al. 2021","13C11MK4_cecal","dietary intervention","dietary intervention","cecal",7,7,0.017167065,0.00804036,0.010564202,0.00141158,-1.133439595,0.348268475,"Ellis","no","no","no","yes","treatment"
"386",26,"Weighted Unifrac","Ellis et al. 2021","2H7PK_cecal","dietary intervention","dietary intervention","cecal",7,7,0.014890963,0.006345984,0.006457328,0.002343109,-1.646502989,0.417717554,"Ellis","no","no","no","yes","treatment"
"387",30,"Weighted Unifrac","Ellis et al. 2021","2H7MK7_cecal","dietary intervention","dietary intervention","",7,7,0.019974588,0.007597112,0.005969187,0.002000128,-2.602403173,0.615482504,"Ellis","no","no","no","yes","treatment"
"388",34,"Weighted Unifrac","Ellis et al. 2021","Control (unlabeled PK)_cecal","control","control","cecal",7,7,0.018383672,0.008211136,0.010730487,0.001988363,-1.233794358,0.359835956,"Ellis","no","no","no","no","control"
"389",38,"Weighted Unifrac","Ellis et al. 2021","MK4_cecal","dietary intervention","dietary intervention","cecal",10,10,0.015026075,0.019393168,0.006915827,0.016580899,0.329212449,0.2033324,"Ellis","no","no","no","yes","treatment"
"390",42,"Weighted Unifrac","Ellis et al. 2021","PK_cecal","dietary intervention","dietary intervention","cecal",10,9,0.012762091,0.028951678,0.006846072,0.033880255,0.616176107,0.223549253,"Ellis","no","no","no","yes","treatment"
"391",46,"Weighted Unifrac","Ellis et al. 2021","VKdef_cecal","dietary intervention","dietary intervention","cecal",8,9,0.012399279,0.00974425,0.005469394,0.003379134,-0.546164251,0.247355368,"Ellis","no","no","no","yes","treatment"
"392",50,"Weighted Unifrac","Ellis et al. 2021","Combo_cecal","dietary intervention","dietary intervention","cecal",10,9,0.015854596,0.020082695,0.005329065,0.006045048,0.706085046,0.22744388,"Ellis","no","no","no","yes","treatment"
"393",54,"Weighted Unifrac","Ellis et al. 2021","MK9_cecal","dietary intervention","dietary intervention","cecal",9,9,0.018475386,0.017932692,0.009492277,0.006906669,-0.062257184,0.222358094,"Ellis","no","no","no","yes","treatment"
"394",270,"Weighted Unifrac","Gubert et al. 2022","WT_control","control","control","fecal",8,8,0.03313733,0.019980818,0.031689172,0.014474578,-0.504848502,0.260389771,"Gubert","no","no","no","no","control"
"395",274,"Weighted Unifrac","Gubert et al. 2022","WT_Enviromental enrichment ","environmental intervention","environmental intervention","fecal",8,8,0.020103652,0.032097824,0.012053668,0.020659095,0.670374458,0.268319717,"Gubert","no","no","no","no","treatment"
"396",278,"Weighted Unifrac","Gubert et al. 2022","WT_Exercise","exercise","exercise","fecal",8,8,0.027486796,0.022768305,0.025806225,0.007508305,-0.234699678,0.252245478,"Gubert","no","no","no","no","treatment"
"397",282,"Weighted Unifrac","Gubert et al. 2022","R6/1_Enviromental enrichment ","genotype, environmental intervention","genotype, environmental intervention","fecal",8,7,0.039797045,0.044203495,0.022147013,0.060176041,0.088882787,0.268207733,"Gubert","yes","no","no","no","treatment"
"398",286,"Weighted Unifrac","Gubert et al. 2022","R6/1_Exercise","genotype, exercise","genotype, exercise","fecal",8,8,0.032058258,0.031843031,0.020516294,0.028280775,-0.008235087,0.250002765,"Gubert","yes","no","no","no","treatment"
"399",290,"Weighted Unifrac","Gubert et al. 2022","R6/1_control","genotype","genotype","fecal",8,8,0.031329415,0.045117202,0.026362456,0.016700348,0.590637074,0.26422084,"Gubert","yes","no","no","no","treatment"
"400",194,"Weighted Unifrac","Ibrahim et al. 2019","AOM/DSS-ERbKOVil","colitis and inflammatory intervention, genotype, hormonal intervention","colitis and inflammatory intervention, genotype, hormonal intervention","fecal",7,6,0.014853908,0.01828398,0.004940048,0.018540285,0.226355102,0.312287203,"Ibrahim","yes","yes","yes","no","treatment"
"401",198,"Weighted Unifrac","Ibrahim et al. 2019","Control","control","control","fecal",4,4,0.005715781,0.01161561,0.003106449,0.008713574,0.783448783,0.571462001,"Ibrahim","no","no","no","no","control"
"402",202,"Weighted Unifrac","Ibrahim et al. 2019","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",7,3,0.034688494,0.012359411,0.037295351,0.00383338,-1.064181756,0.566349162,"Ibrahim","no","no","yes","no","treatment"
"403",206,"Weighted Unifrac","Ibrahim et al. 2019","Control-ERbKOVil","genotype, hormonal intervention","genotype, hormonal intervention","fecal",4,4,0.005341519,0.009906521,0.002247484,0.003189229,1.437302336,0.740519458,"Ibrahim","yes","yes","no","no","treatment"
"404",350,"Weighted Unifrac","Kozik et al. 2019","Colitis-cecal","colitis and inflammatory intervention","colitis and inflammatory intervention","cecal",7,7,0.010593361,0.006176059,0.00405495,0.001275509,-1.375457981,0.377834363,"Kozik","no","no","yes","no","treatment"
"405",354,"Weighted Unifrac","Kozik et al. 2019","Colitis-colonMucus","colitis and inflammatory intervention","colitis and inflammatory intervention","colon mucus",5,4,0.006277674,0.005804336,0.004405844,0.002827113,-0.117116404,0.451297355,"Kozik","no","no","yes","no","treatment"
"406",358,"Weighted Unifrac","Kozik et al. 2019","Control-cecal","control","control","cecal",2,3,0.068110278,0.003783204,0.068567758,1.79e-16,-0.831416783,1.084521321,"Kozik","no","no","no","no","control"
"407",362,"Weighted Unifrac","Kozik et al. 2019","Colitis-fecal_T0","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",7,7,0.003264501,0.00280246,0.00235487,0.001336464,-0.225863681,0.288198291,"Kozik","no","no","yes","no","treatment"
"408",366,"Weighted Unifrac","Kozik et al. 2019","Control-fecal","control","control","fecal",2,3,0.02200214,0.026136899,0.033852129,0,0.108245338,0.837591079,"Kozik","no","no","no","no","control"
"409",370,"Weighted Unifrac","Kozik et al. 2019","Colitis-fecal","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",5,7,0.011050551,0.00328806,0.013320311,0.002032553,-0.688887493,0.371538376,"Kozik","no","no","yes","no","treatment"
"410",374,"Weighted Unifrac","Kozik et al. 2019","Control-fecal_T0","control","control","fecal",2,3,0.001186949,0.00097288,0.000150143,1.66e-17,-1.263554072,1.413494901,"Kozik","no","no","no","no","control"
"411",74,"Weighted Unifrac","Lindheim et al. 2018","PRJNA445979","mixed","mixed","fecal",76,93,0.071611705,0.062873275,0.059098435,0.038721547,-0.170687595,0.023998734,"Lindheim","no","no","no","no","treatment"
"412",2,"Weighted Unifrac","Lyte et al. 2022","beef-chow-stress","dietary intervention, enviromental intervention","dietary intervention, enviromental intervention","fecal",18,20,0.014406489,0.018133902,0.005244031,0.015201994,0.328171532,0.107127515,"Lyte","no","no","no","yes","treatment"
"413",6,"Weighted Unifrac","Lyte et al. 2022","chow-stress","enviromental intervention","enviromental intervention","fecal",20,20,0.01278495,0.018235707,0.008019474,0.01849906,0.374715798,0.101936438,"Lyte","no","no","no","no","treatment"
"414",10,"Weighted Unifrac","Lyte et al. 2022","chow-control","control","control","fecal",20,19,0.009874954,0.013390755,0.003665726,0.008627508,0.51477103,0.10638972,"Lyte","no","no","no","no","control"
"415",14,"Weighted Unifrac","Lyte et al. 2022","beef-chow","dietary intervention","dietary intervention","fecal",18,19,0.014042717,0.020698597,0.009940864,0.012532904,0.577589858,0.113202971,"Lyte","no","no","no","yes","treatment"
"416",58,"Weighted Unifrac","Pizarro et al. 2021","EtOH-Syn-T1","dietary intervention_mixed","dietary intervention","fecal",10,8,0.026850138,0.017733392,0.012898978,0.009441617,-0.782982909,0.246490853,"Pizarro","no","no","no","yes","treatment"
"417",62,"Weighted Unifrac","Pizarro et al. 2021","Symbiotic-T0","dietary intervention_good","dietary intervention","fecal",10,8,0.017641831,0.014493707,0.004777889,0.003696085,-0.713124712,0.242827073,"Pizarro","no","no","no","yes","treatment"
"418",66,"Weighted Unifrac","Pizarro et al. 2021","Water-T0","control","control","fecal",10,8,0.02131068,0.012282279,0.007947924,0.002332299,-1.551742058,0.309408881,"Pizarro","no","no","no","no","control"
"419",70,"Weighted Unifrac","Pizarro et al. 2021","EtOH-T1","dietary intervention_bad","dietary intervention","fecal",10,8,0.019194613,0.014880036,0.009080857,0.006532425,-0.530059225,0.23484913,"Pizarro","no","no","no","yes","treatment"
"420",318,"Weighted Unifrac","Ramakrishna et al. 2020","HSV1-infected","infection","infection","fecal",5,5,0.047416768,0.060130963,0.063852914,0.078432421,0.160485482,0.402050442,"Ramakrishna","no","no","no","no","treatment"
"421",322,"Weighted Unifrac","Ramakrishna et al. 2020","Control","control","control","fecal",5,5,0.048567416,0.023001916,0.064623926,0.05059715,-0.397651716,0.412588723,"Ramakrishna","no","no","no","no","control"
"422",326,"Weighted Unifrac","Ramakrishna et al. 2020","ACV-injected","drug treatment (immune-related)","drug treatment","fecal",5,5,0.030300418,0.041337056,0.063210404,0.048733882,0.176525921,0.402480807,"Ramakrishna","no","no","no","no","treatment"
"423",330,"Weighted Unifrac","Ramakrishna et al. 2020","IVIG-injected","drug treatment (immune-related)","drug treatment","fecal",5,5,0.115058968,0.021403628,0.125147844,0.025157739,-0.936627298,0.46984086,"Ramakrishna","no","no","no","no","treatment"
"424",334,"Weighted Unifrac","Ramakrishna et al. 2020","ACV+IVIG-injected","drug treatment (immune-related)","drug treatment","fecal",5,5,0.027313587,0.133844027,0.060774165,0.166044148,0.769148847,0.447097379,"Ramakrishna","no","no","no","no","treatment"
"425",338,"Weighted Unifrac","Ramakrishna et al. 2020","HSV1-infected; IVIG-injected","infection, drug treatment (immune-related)","infection, drug treatment","fecal",5,4,0.000783954,0.019914492,0.000963216,0.039960498,0.562383923,0.479915002,"Ramakrishna","no","no","no","no","treatment"
"426",342,"Weighted Unifrac","Ramakrishna et al. 2020","HSV1-infected; ACV-injected","infection, drug treatment (immune-related)","infection, drug treatment ","fecal",4,4,0.061420697,0.046673796,0.109694573,0.09301562,-0.125957264,0.501847142,"Ramakrishna","no","no","no","no","treatment"
"427",346,"Weighted Unifrac","Ramakrishna et al. 2020","HSV1-infected; ACV+IVIG-injected","infection, drug treatment (immune-related)","infection, drug treatment ","fecal",5,5,0.045239502,0.046713653,0.058817012,0.084218866,0.01832016,0.40002672,"Ramakrishna","no","no","no","no","treatment"
"428",118,"Weighted Unifrac","Son et al. 2019","IL-10 Knockout ","colitis and inflammatory intervention, genotype","colitis and inflammatory intervention, genotype","fecal",8,8,0.055610895,0.064578165,0.036381134,0.064661386,0.161574617,0.251064217,"Son","yes","no","yes","no","treatment"
"429",122,"Weighted Unifrac","Son et al. 2019","Control","control","control","fecal",8,8,0.034049746,0.014766317,0.034651032,0.011008052,-0.709036685,0.270493742,"Son","no","no","no","no","control"
"430",190,"Weighted Unifrac","Song et al. 2020","Control","control","control","fecal",5,11,0.039473852,0.051851367,0.031466619,0.060135502,0.280455578,0.294115449,"Song","no","no","no","no","control"
"431",94,"Weighted Unifrac","Song et al. 2021","Control","control","control","fecal",8,8,0.006048104,0.013658892,0.003264733,0.007813764,1.201457891,0.308843833,"Song","no","no","no","no","control"
"432",98,"Weighted Unifrac","Song et al. 2021","Nrf2KO","genotype (CRC-treatment)","genotype","fecal",8,8,0.006801608,0.01095367,0.003056784,0.007881006,0.656642458,0.267576879,"Song","yes","no","no","no","treatment"
"433",102,"Weighted Unifrac","Song et al. 2021","AOM/DSS-Nrf2KO","colitis and inflammatory intervention, genotype (CRC-treatment)","colitis and inflammatory intervention, genotype","fecal",8,8,0.015192403,0.009278102,0.015146677,0.00724144,-0.470939939,0.259040967,"Song","yes","no","yes","no","treatment"
"434",106,"Weighted Unifrac","Song et al. 2021","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",8,8,0.02673164,0.029912935,0.014828616,0.022242999,0.159088809,0.251031723,"Song","no","no","yes","no","treatment"
"435",258,"Weighted Unifrac","Song et al. 2022","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",10,7,0.037037749,0.029702778,0.032427164,0.030691977,-0.22170329,0.244709943,"Song","no","no","yes","no","treatment"
"436",262,"Weighted Unifrac","Song et al. 2022","AOM/DSS_ steroid-injected","colitis and inflammatory intervention, hormonal intervention (prime male)","colitis and inflammatory intervention, hormonal intervention","fecal",8,4,0.02092236,0.017634658,0.014773514,0.010551186,-0.253332171,0.378878662,"Song","no","yes","yes","no","treatment"
"437",266,"Weighted Unifrac","Song et al. 2022","Control","control","control","fecal",4,4,0.048106575,0.012690635,0.053149113,0.008098474,-0.809220644,0.576240873,"Song","no","no","no","no","control"
"438",378,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Skin_day28_Control","rats","rats","skin",5,9,0.10053597,0.096123422,0.075783031,0.049687395,-0.060552836,0.311289648,"Strickland","no","no","no","no","treatment"
"439",382,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Skin_day7_Control","rats","rats","skin",10,3,0.062181423,0.061424916,0.054884063,0.031899279,-0.018936532,0.433352674,"Strickland","no","no","no","no","treatment"
"440",386,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Ear_day28_Control","rats","rats","ear",5,9,0.101210243,0.070005489,0.094428396,0.033353375,-0.367513012,0.317687766,"Strickland","no","no","no","no","treatment"
"441",390,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Skin_day7_Control","rats","rats","skin",5,8,0.120973925,0.072515636,0.13884246,0.029737036,-0.401641499,0.333700401,"Strickland","no","no","no","no","treatment"
"442",394,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Nose_day0_Control","rats","rats","nose",5,3,0.080685023,0.117027393,0.076439007,0.046644172,0.54153779,0.567477105,"Strickland","no","no","no","no","treatment"
"443",398,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Fecal_day0_Control","rats","rats","fecal",20,3,0.019850275,0.041187226,0.00418889,0.017691269,1.218449207,0.421875145,"Strickland","no","no","no","no","treatment"
"444",402,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Ear_day7_Control","rats","rats","ear",5,9,0.074785651,0.090416091,0.049095119,0.082655924,0.234729727,0.313793958,"Strickland","no","no","no","no","treatment"
"445",406,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Nose_day28_Control","rats","rats","nose",5,8,0.132084262,0.050993441,0.101883835,0.031067232,-0.904141711,0.369089496,"Strickland","no","no","no","no","treatment"
"446",410,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Fecal_day28_Control","rats","rats","fecal",10,3,0.016951461,0.034088581,0.002749312,0.01641305,1.070133668,0.495097726,"Strickland","no","no","no","no","treatment"
"447",414,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Fecal_day28_Control","rats","rats","fecal",5,9,0.033699005,0.051328854,0.014235904,0.016050788,1.109986752,0.371103372,"Strickland","no","no","no","no","treatment"
"448",418,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Fecal_day14_Control","rats","rats","fecal",5,9,0.03829684,0.026250732,0.02257665,0.014863375,-0.554482196,0.326081561,"Strickland","no","no","no","no","treatment"
"449",422,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Nose_day7_Control","rats","rats","nose",5,9,0.115179269,0.067343361,0.072243777,0.033655706,-0.720904002,0.336416587,"Strickland","no","no","no","no","treatment"
"450",426,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Nose_day7_Control","rats","rats","nose",10,3,0.034135816,0.062235305,0.003632959,0.039394864,0.732635722,0.462282649,"Strickland","no","no","no","no","treatment"
"451",430,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Skin_day0_Control","rats","rats","skin",5,3,0.031404636,0.052023472,0.007742377,0.025692712,0.83500833,0.614510814,"Strickland","no","no","no","no","treatment"
"452",434,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Fecal_day21_Control","rats","rats","fecal",10,3,0.024733876,0.03294459,0.004256769,0.006969428,1.16393547,0.506400106,"Strickland","no","no","no","no","treatment"
"453",438,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Ear_day0_Control","rats","rats","ear",4,3,0.049179278,0.043039155,0.012947606,0.031837542,-0.198662629,0.589299679,"Strickland","no","no","no","no","treatment"
"454",442,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Fecal_day7_Control","rats","rats","fecal",5,9,0.041073964,0.032621232,0.012613709,0.020997883,-0.497336886,0.32315484,"Strickland","no","no","no","no","treatment"
"455",446,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Skin_day28_Control","rats","rats","skin",10,3,0.03494095,0.138621921,0.031164106,0.079109656,1.324788664,0.527990898,"Strickland","no","no","no","no","treatment"
"456",450,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Fecal_day0_Control","rats","rats","fecal",15,9,0.054612898,0.032319287,0.086392738,0.01560708,-0.401827008,0.181762726,"Strickland","no","no","no","no","treatment"
"457",454,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Fecal_day14_Control","rats","rats","fecal",10,3,0.023443682,0.033776929,0.009492621,0.015529142,0.657365934,0.456639804,"Strickland","no","no","no","no","treatment"
"458",458,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Nose_day28_Control","rats","rats","nose",10,3,0.13553245,0.103314243,0.147863556,0.066187942,-0.344602231,0.439738026,"Strickland","no","no","no","no","treatment"
"459",462,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Ear_day28_Control","rats","rats","ear",10,3,0.101285703,0.083381738,0.069235061,0.060385759,-0.26816463,0.437211845,"Strickland","no","no","no","no","treatment"
"460",466,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Fecal_day7_Control","rats","rats","fecal",10,3,0.02273101,0.032456327,0.003111161,0.014017739,0.709415976,0.460476721,"Strickland","no","no","no","no","treatment"
"461",470,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_hispidus_Fecal_day21_Control","rats","rats","fecal",5,9,0.032935224,0.035989805,0.02031261,0.03540429,0.108609667,0.311685488,"Strickland","no","no","no","no","treatment"
"462",474,"Weighted Unifrac","Strickland et al. 2021","Sigmodon_fulviventer_Ear_day7_Control","rats","rats","ear",10,3,0.019396741,0.049238674,0.01198633,0.03487951,0.868301729,0.473996711,"Strickland","no","no","no","no","treatment"
"463",166,"Weighted Unifrac","Sun et al. 2020","High fat","dietary intervention","dietary intervention","fecal",8,7,0.050336111,0.047968272,0.02006502,0.025797038,-0.095514985,0.268262006,"Sun","no","no","no","yes","treatment"
"464",170,"Weighted Unifrac","Sun et al. 2020","Pomctm1/tm1, High fat","dietary intervention, genotype (obesity)","dietary intervention, genotype","fecal",8,7,0.033810045,0.08964998,0.014252909,0.052796215,1.315795688,0.34468909,"Sun","yes","no","no","yes","treatment"
"465",174,"Weighted Unifrac","Sun et al. 2020","Control","control","control","fecal",8,8,0.049107674,0.049735887,0.036798535,0.02682342,0.018442533,0.250013865,"Sun","no","no","no","no","control"
"466",178,"Weighted Unifrac","Sun et al. 2020","Pomctm1/tm1","genotype (obesity)","genotype","fecal",8,8,0.044638247,0.060920027,0.022642919,0.026712451,0.621570206,0.265749408,"Sun","yes","no","no","no","treatment"
"467",182,"Weighted Unifrac","Tam et al. 2020","Smoke exposed_cecal","smoke-exposed","smoke-exposed","cecal",10,10,0.02984954,0.027249302,0.017563437,0.007110508,-0.185851328,0.201062028,"Tam","no","no","no","no","treatment"
