"","X","Authors","metric","subgroup","group","group_general","tissue","CN","EN","yi","vi","stats","Protocol","genotype_intervention","hormonal_intervention","colitis_intervention","dietary_intervention","control"
"2343",2343,"Wolfe et al. 2020","Richness","Smad3-/-_CRC_SFB-_cecal","genotype (deficient immunity), colitis and inflammatory intervention","genotype, colitis and inflammatory intervention","cecal",2,7,-0.297316369,0.018837627,"lnRR","Wolfe","yes","no","yes","no","treatment"
"2344",2344,"Wolfe et al. 2020","Richness","Smad3-/-_CRC_SFB-_fecal","genotype (deficient immunity), colitis and inflammatory intervention","genotype, colitis and inflammatory intervention","fecal",34,83,-0.208502704,0.002752285,"lnRR","Wolfe","yes","no","yes","no","treatment"
"2345",2345,"Wolfe et al. 2020","Richness","Smad3-/-_healthy_SFB+_cecal","genotype (deficient immunity), microbe intervention","genotype, microbe intervention","cecal",15,5,0.100538677,0.002751415,"lnRR","Wolfe","yes","no","no","no","treatment"
"2346",2346,"Wolfe et al. 2020","Richness","Smad3-/-_healthy_SFB+_fecal","genotype (deficient immunity), microbe intervention","genotype, microbe intervention","fecal",156,49,-0.016932938,0.00151686,"lnRR","Wolfe","yes","no","no","no","treatment"
"2347",2347,"Wolfe et al. 2020","Richness","Smad3-/-_healthy_SFB-_cecal","genotype (deficient immunity)","genotype","cecal",15,10,0.064133017,0.016379115,"lnRR","Wolfe","yes","no","no","no","treatment"
"2348",2348,"Wolfe et al. 2020","Richness","Smad3-/-_healthy_SFB-_fecal","genotype (deficient immunity)","genotype","fecal",158,135,-0.22339777,0.002517809,"lnRR","Wolfe","yes","no","no","no","treatment"
"2349",2349,"Zajac et al. 2022","Richness","APOE2/E2_cecal","genotype (neuroprotective against Alzheimer)","genotype","cecal",5,6,0.124587159,0.004774056,"lnRR","Zajac","yes","no","no","no","treatment"
"2350",2350,"Zajac et al. 2022","Richness","APOE2/E2_fecal","genotype (neuroprotective against Alzheimer)","genotype","fecal",15,21,-0.048312613,0.003940262,"lnRR","Zajac","yes","no","no","no","treatment"
"2351",2351,"Zajac et al. 2022","Richness","APOE2/E2_small bowel","genotype (neuroprotective against Alzheimer)","genotype","small bowel",2,3,-1.443730867,0.020885889,"lnRR","Zajac","yes","no","no","no","treatment"
"2352",2352,"Zajac et al. 2022","Richness","APOE2/E3_cecal","genotype (neuroprotective against Alzheimer to neutral)","genotype","cecal",7,10,-0.019299272,0.000910955,"lnRR","Zajac","yes","no","no","no","treatment"
"2353",2353,"Zajac et al. 2022","Richness","APOE2/E3_fecal","genotype (neuroprotective against Alzheimer to neutral)","genotype","fecal",21,36,-0.083457878,0.001169805,"lnRR","Zajac","yes","no","no","no","treatment"
"2354",2354,"Zajac et al. 2022","Richness","APOE2/E3_small bowel","genotype (neuroprotective against Alzheimer to neutral)","genotype","small bowel",1,NA,NA,NA,"lnRR","Zajac","yes","no","no","no","treatment"
"2355",2355,"Zajac et al. 2022","Richness","APOE2_fecal","genotype (neuroprotective against Alzheimer)","genotype","fecal",8,7,-0.084589338,0.00125979,"lnRR","Zajac","yes","no","no","no","treatment"
"2356",2356,"Zajac et al. 2022","Richness","APOE3/E3_cecal","genotype (neutral)","genotype","cecal",13,5,0.008148598,0.002172304,"lnRR","Zajac","yes","no","no","no","treatment"
"2357",2357,"Zajac et al. 2022","Richness","APOE3/E3_fecal","genotype (neutral)","genotype","fecal",41,15,-0.014540691,0.003286236,"lnRR","Zajac","yes","no","no","no","treatment"
"2358",2358,"Zajac et al. 2022","Richness","APOE3/E3_small bowel","genotype (neutral)","genotype","small bowel",4,2,0.067350981,0.028363698,"lnRR","Zajac","yes","no","no","no","treatment"
"2359",2359,"Zajac et al. 2022","Richness","APOE3/E4_cecal","genotype (neutral to prime Alzheimer)","genotype","cecal",10,8,0.136786885,0.001469929,"lnRR","Zajac","yes","no","no","no","treatment"
"2360",2360,"Zajac et al. 2022","Richness","APOE3/E4_fecal","genotype (neutral to prime Alzheimer)","genotype","fecal",32,23,-0.032986574,0.001640379,"lnRR","Zajac","yes","no","no","no","treatment"
"2361",2361,"Zajac et al. 2022","Richness","APOE3/E4_small bowel","genotype (neutral to prime Alzheimer)","genotype","small bowel",NA,1,NA,NA,"lnRR","Zajac","yes","no","no","no","treatment"
"2362",2362,"Zajac et al. 2022","Richness","APOE3_fecal","genotype (neutral)","genotype","fecal",6,7,0.043971095,0.006308984,"lnRR","Zajac","yes","no","no","no","treatment"
"2363",2363,"Zajac et al. 2022","Richness","APOE4/E4_cecal","genotype (prime Alzheimer)","genotype","cecal",5,4,-0.084738274,0.003727977,"lnRR","Zajac","yes","no","no","no","treatment"
"2364",2364,"Zajac et al. 2022","Richness","APOE4/E4_fecal","genotype (prime Alzheimer)","genotype","fecal",15,19,-0.035778304,0.006673852,"lnRR","Zajac","yes","no","no","no","treatment"
"2365",2365,"Zajac et al. 2022","Richness","APOE4/E4_small bowel","genotype (prime Alzheimer)","genotype","small bowel",3,3,-0.106566949,0.015745311,"lnRR","Zajac","yes","no","no","no","treatment"
"2366",2366,"Zajac et al. 2022","Richness","APOE4_fecal","genotype (prime Alzheimer)","genotype","fecal",7,7,-0.107712427,0.004737954,"lnRR","Zajac","yes","no","no","no","treatment"
"2367",2367,"Zou et al. 2021","Richness","Control","control","control","fecal",4,4,0.119865921,0.003402558,"lnRR","Zou","no","no","no","no","control"
"2368",2368,"Zou et al. 2021","Richness","Glrx1 KO + High fat chow","genotype (pro-inflammation), dietary intervention","genotype, dietary intervention","fecal",4,4,-0.001626387,0.005007096,"lnRR","Zou","yes","no","no","yes","treatment"
"2369",2369,"Zou et al. 2021","Richness","Glrx1 KO + Standard chow","genotype (pro-inflammation), dietary intervention","genotype, dietary intervention","fecal",2,3,0.031459193,0.003091535,"lnRR","Zou","yes","no","no","yes","treatment"
"2370",2370,"Zou et al. 2021","Richness","High fat chow","dietary intervention","dietary intervention","fecal",5,5,-0.098057992,0.00490639,"lnRR","Zou","no","no","no","yes","treatment"
"2371",2371,"Cheema & Pluznick 2019","Faith's PD","Ang II infusion","increased blood pressure (cardiovascular disease model)","drug treatment","fecal",3,3,0.020725353,0.00274026,"lnRR","Cheema","no","no","no","no","treatment"
"2372",2372,"Cheema & Pluznick 2019","Faith's PD","Control","control","control","fecal",3,3,-0.118434175,0.021450389,"lnRR","Cheema","no","no","no","no","control"
"2373",2373,"Ellis et al. 2021","Faith's PD","13C11MK4","dietary intervention","dietary intervention","cecal",7,7,0.103727943,0.000770226,"lnRR","Ellis","no","no","no","yes","treatment"
"2374",2374,"Ellis et al. 2021","Faith's PD","2H7MK7","dietary intervention","dietary intervention","cecal",7,7,0.065899738,0.001204005,"lnRR","Ellis","no","no","no","yes","treatment"
"2375",2375,"Ellis et al. 2021","Faith's PD","2H7MK9","dietary intervention","dietary intervention","cecal",7,7,0.112633114,0.001393019,"lnRR","Ellis","no","no","no","yes","treatment"
"2376",2376,"Ellis et al. 2021","Faith's PD","2H7PK","dietary intervention","dietary intervention","cecal",7,7,0.08331785,0.002612519,"lnRR","Ellis","no","no","no","yes","treatment"
"2377",2377,"Ellis et al. 2021","Faith's PD","Combo","dietary intervention","dietary intervention","cecal",10,9,0.017503005,0.001768415,"lnRR","Ellis","no","no","no","yes","treatment"
"2378",2378,"Ellis et al. 2021","Faith's PD","Control (unlabeled PK)","control","control","cecal",7,7,-0.01027126,0.00608226,"lnRR","Ellis","no","no","no","no","control"
"2379",2379,"Ellis et al. 2021","Faith's PD","MK4","dietary intervention","dietary intervention","cecal",10,10,0.004174995,0.001721404,"lnRR","Ellis","no","no","no","yes","treatment"
"2380",2380,"Ellis et al. 2021","Faith's PD","MK9","dietary intervention","dietary intervention","cecal",9,9,0.009656254,0.002846998,"lnRR","Ellis","no","no","no","yes","treatment"
"2381",2381,"Ellis et al. 2021","Faith's PD","PK","dietary intervention","dietary intervention","cecal",10,9,0.186798026,0.004900194,"lnRR","Ellis","no","no","no","yes","treatment"
"2382",2382,"Ellis et al. 2021","Faith's PD","VKdef","dietary intervention","dietary intervention","cecal",8,9,-0.03243732,0.003332576,"lnRR","Ellis","no","no","no","yes","treatment"
"2383",2383,"Gubert et al. 2022","Faith's PD","R6/1_Enviromental enrichment ","genotype, environmental intervention","genotype, environmental intervention","fecal",8,7,0.059880314,0.004521637,"lnRR","Gubert","yes","no","no","no","treatment"
"2384",2384,"Gubert et al. 2022","Faith's PD","R6/1_Exercise","genotype, exercise","genotype, exercise","fecal",8,8,-0.123345395,0.004963655,"lnRR","Gubert","yes","no","no","no","treatment"
"2385",2385,"Gubert et al. 2022","Faith's PD","R6/1_control","genotype","genotype","fecal",8,8,-0.043508176,0.005293986,"lnRR","Gubert","yes","no","no","no","treatment"
"2386",2386,"Gubert et al. 2022","Faith's PD","WT_Enviromental enrichment ","environmental intervention","environmental intervention","fecal",8,8,0.05103999,0.005629594,"lnRR","Gubert","no","no","no","no","treatment"
"2387",2387,"Gubert et al. 2022","Faith's PD","WT_Exercise","exercise","exercise","fecal",8,8,-0.027704193,0.00572073,"lnRR","Gubert","no","no","no","no","treatment"
"2388",2388,"Gubert et al. 2022","Faith's PD","WT_control","control","control","fecal",8,8,-0.110425145,0.009457859,"lnRR","Gubert","no","no","no","no","control"
"2389",2389,"Ibrahim et al. 2019","Faith's PD","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",7,3,-0.097454598,0.007140163,"lnRR","Ibrahim","no","no","yes","no","treatment"
"2390",2390,"Ibrahim et al. 2019","Faith's PD","AOM/DSS-ERbKOVil","colitis and inflammatory intervention, genotype, hormonal intervention","colitis and inflammatory intervention, genotype, hormonal intervention","fecal",7,6,-0.084755057,0.004822577,"lnRR","Ibrahim","yes","yes","yes","no","treatment"
"2391",2391,"Ibrahim et al. 2019","Faith's PD","Control","control","control","fecal",4,4,-0.019526492,0.006912088,"lnRR","Ibrahim","no","no","no","no","control"
"2392",2392,"Ibrahim et al. 2019","Faith's PD","Control-ERbKOVil","genotype, hormonal intervention","genotype, hormonal intervention","fecal",4,4,-0.136017531,0.006286808,"lnRR","Ibrahim","yes","yes","no","no","treatment"
"2393",2393,"Kozik et al. 2019","Faith's PD","Colitis-cecal","colitis and inflammatory intervention","colitis and inflammatory intervention","cecal",7,7,0.080828734,0.006589386,"lnRR","Kozik","no","no","yes","no","treatment"
"2394",2394,"Kozik et al. 2019","Faith's PD","Colitis-colonMucus","colitis and inflammatory intervention","colitis and inflammatory intervention","colon mucus",5,4,0.022426845,0.012855421,"lnRR","Kozik","no","no","yes","no","treatment"
"2395",2395,"Kozik et al. 2019","Faith's PD","Colitis-colonMucus_T0","colitis and inflammatory intervention","colitis and inflammatory intervention","colon mucus",1,NA,NA,NA,"lnRR","Kozik","no","no","yes","no","treatment"
"2396",2396,"Kozik et al. 2019","Faith's PD","Colitis-fecal","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",5,7,0.045679512,0.014202645,"lnRR","Kozik","no","no","yes","no","treatment"
"2397",2397,"Kozik et al. 2019","Faith's PD","Colitis-fecal_T0","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",7,7,0.049589747,0.008680131,"lnRR","Kozik","no","no","yes","no","treatment"
"2398",2398,"Kozik et al. 2019","Faith's PD","Control-cecal","control","control","cecal",2,3,-0.248186914,0.03417907,"lnRR","Kozik","no","no","no","no","control"
"2399",2399,"Kozik et al. 2019","Faith's PD","Control-colonMucus","control","control","colon mucus",NA,3,NA,NA,"lnRR","Kozik","no","no","no","no","control"
"2400",2400,"Kozik et al. 2019","Faith's PD","Control-fecal","control","control","fecal",2,3,-0.018945795,0.000409509,"lnRR","Kozik","no","no","no","no","control"
"2401",2401,"Kozik et al. 2019","Faith's PD","Control-fecal_T0","control","control","fecal",2,3,0.070831584,0.009896671,"lnRR","Kozik","no","no","no","no","control"
"2402",2402,"Li et al. 2020","Faith's PD","Chow diet + STZ injection+ Distilled water ","dietary intervention, induced type 1 diabetes","dietary intervention, drug treatment","",5,1,NA,NA,"lnRR","Li","no","no","no","yes","treatment"
"2403",2403,"Li et al. 2020","Faith's PD","HFD+ STZ injection + DNJ","dietary intervention (mixed), induced type 1 diabetes","dietary intervention, drug treatment","",1,9,NA,NA,"lnRR","Li","no","no","no","yes","treatment"
"2404",2404,"Li et al. 2020","Faith's PD","HFD+ STZ injection+ Distilled water","dietary intervention (High-fat), induced type 1 diabetes","dietary intervention, drug treatment","",NA,3,NA,NA,"lnRR","Li","no","no","no","yes","treatment"
"2405",2405,"Lindheim et al. 2018","Faith's PD","PRJNA445979","mixed","mixed","fecal",76,93,0.001271661,0.000396256,"lnRR","Lindheim","no","no","no","no","treatment"
"2406",2406,"Lyte et al. 2022","Faith's PD","beef-chow","dietary intervention","dietary intervention","fecal",18,19,-0.071794633,0.002919059,"lnRR","Lyte","no","no","no","yes","treatment"
"2407",2407,"Lyte et al. 2022","Faith's PD","beef-chow-stress","dietary intervention, enviromental intervention","dietary intervention, enviromental intervention","fecal",18,20,-0.082936051,0.00120909,"lnRR","Lyte","no","no","no","yes","treatment"
"2408",2408,"Lyte et al. 2022","Faith's PD","chow-control","control","control","fecal",20,19,0.026649409,0.001422635,"lnRR","Lyte","no","no","no","no","control"
"2409",2409,"Lyte et al. 2022","Faith's PD","chow-stress","enviromental intervention","enviromental intervention","fecal",20,20,-0.071991144,0.001638626,"lnRR","Lyte","no","no","no","no","treatment"
"2410",2410,"Pizarro et al. 2021","Faith's PD","EtOH-Syn-T1","dietary intervention_mixed","dietary intervention","fecal",10,8,-0.025594726,0.001415955,"lnRR","Pizarro","no","no","no","yes","treatment"
"2411",2411,"Pizarro et al. 2021","Faith's PD","EtOH-T1","dietary intervention_bad","dietary intervention","fecal",10,8,-0.103818793,0.002404761,"lnRR","Pizarro","no","no","no","yes","treatment"
"2412",2412,"Pizarro et al. 2021","Faith's PD","Symbiotic-T0","dietary intervention_good","dietary intervention","fecal",10,8,-0.069758958,0.001621917,"lnRR","Pizarro","no","no","no","yes","treatment"
"2413",2413,"Pizarro et al. 2021","Faith's PD","Water-T0","control","control","fecal",10,8,0.079196678,0.000790504,"lnRR","Pizarro","no","no","no","no","control"
"2414",2414,"Ramakrishna et al. 2020","Faith's PD","ACV+IVIG-injected","drug treatment (immune-related)","drug treatment","fecal",1,4,NA,NA,"lnRR","Ramakrishna","no","no","no","no","treatment"
"2415",2415,"Ramakrishna et al. 2020","Faith's PD","ACV-injected","drug treatment (immune-related)","drug treatment","fecal",3,2,NA,NA,"lnRR","Ramakrishna","no","no","no","no","treatment"
"2416",2416,"Ramakrishna et al. 2020","Faith's PD","Control","control","control","fecal",2,3,-0.310835415,0,"lnRR","Ramakrishna","no","no","no","no","control"
"2417",2417,"Ramakrishna et al. 2020","Faith's PD","HSV1-infected","infection","infection","fecal",4,5,NA,NA,"lnRR","Ramakrishna","no","no","no","no","treatment"
"2418",2418,"Ramakrishna et al. 2020","Faith's PD","HSV1-infected; ACV+IVIG-injected","infection, drug treatment (immune-related)","infection, drug treatment ","fecal",2,3,NA,NA,"lnRR","Ramakrishna","no","no","no","no","treatment"
"2419",2419,"Ramakrishna et al. 2020","Faith's PD","HSV1-infected; ACV-injected","infection, drug treatment (immune-related)","infection, drug treatment ","fecal",1,1,NA,NA,"lnRR","Ramakrishna","no","no","no","no","treatment"
"2420",2420,"Ramakrishna et al. 2020","Faith's PD","HSV1-infected; IVIG-injected","infection, drug treatment (immune-related)","infection, drug treatment","fecal",3,1,NA,NA,"lnRR","Ramakrishna","no","no","no","no","treatment"
"2421",2421,"Ramakrishna et al. 2020","Faith's PD","IVIG-injected","drug treatment (immune-related)","drug treatment","fecal",5,5,NA,NA,"lnRR","Ramakrishna","no","no","no","no","treatment"
"2422",2422,"Son et al. 2019","Faith's PD","Control","control","control","fecal",8,8,-0.262501491,0.006793428,"lnRR","Son","no","no","no","no","control"
"2423",2423,"Son et al. 2019","Faith's PD","IL-10 Knockout ","colitis and inflammatory intervention, genotype","colitis and inflammatory intervention, genotype","fecal",8,8,-0.032778717,0.007849122,"lnRR","Son","yes","no","yes","no","treatment"
"2424",2424,"Song et al. 2020","Faith's PD","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",12,NA,NA,NA,"lnRR","Song","no","no","yes","no","treatment"
"2425",2425,"Song et al. 2020","Faith's PD","AOM/DSS E2-supplemented","colitis and inflammatory intervention, dietary intervention","colitis and inflammatory intervention, dietary intervention","fecal",12,NA,NA,NA,"lnRR","Song","no","no","yes","yes","treatment"
"2426",2426,"Song et al. 2020","Faith's PD","Control","control","control","fecal",5,11,0.015270858,0.002412329,"lnRR","Song","no","no","no","no","control"
"2427",2427,"Song et al. 2020","Faith's PD","E2-supplemented","dietary intervention","dietary intervention","fecal",12,NA,NA,NA,"lnRR","Song","no","no","no","yes","treatment"
"2428",2428,"Song et al. 2020","Faith's PD","ovariectomized ","hormonal intervention","hormonal intervention","fecal",NA,7,NA,NA,"lnRR","Song","no","yes","no","no","treatment"
"2429",2429,"Song et al. 2021","Faith's PD","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",8,8,-0.121029815,0.005942585,"lnRR","Song","no","no","yes","no","treatment"
"2430",2430,"Song et al. 2021","Faith's PD","AOM/DSS-Nrf2KO","colitis and inflammatory intervention, genotype (CRC-treatment)","colitis and inflammatory intervention, genotype","fecal",8,8,0.035055099,0.003074645,"lnRR","Song","yes","no","yes","no","treatment"
"2431",2431,"Song et al. 2021","Faith's PD","Control","control","control","fecal",8,8,-0.201229749,0.00973169,"lnRR","Song","no","no","no","no","control"
"2432",2432,"Song et al. 2021","Faith's PD","Nrf2KO","genotype (CRC-treatment)","genotype","fecal",8,8,0.055524397,0.004644969,"lnRR","Song","yes","no","no","no","treatment"
"2433",2433,"Song et al. 2022","Faith's PD","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",10,7,0.03773353,0.003395755,"lnRR","Song","no","no","yes","no","treatment"
"2434",2434,"Song et al. 2022","Faith's PD","AOM/DSS_ steroid-injected","colitis and inflammatory intervention, hormonal intervention (prime male)","colitis and inflammatory intervention, hormonal intervention","fecal",8,4,0.051926472,0.003117087,"lnRR","Song","no","yes","yes","no","treatment"
"2435",2435,"Song et al. 2022","Faith's PD","Control","control","control","fecal",4,4,-0.220069666,0.003257737,"lnRR","Song","no","no","no","no","control"
"2436",2436,"Song et al. 2022","Faith's PD","orchiectomized","hormonal intervention (neutered male)","hormonal intervention","fecal",4,NA,NA,NA,"lnRR","Song","no","yes","no","no","treatment"
"2437",2437,"Song et al. 2022","Faith's PD","orchiectomized_ AOM/DSS","colitis and inflammatory intervention, hormonal intervention (neutered male)","colitis and inflammatory intervention, hormonal intervention ","fecal",10,NA,NA,NA,"lnRR","Song","no","yes","yes","no","treatment"
"2438",2438,"Song et al. 2022","Faith's PD","orchiectomized_ AOM/DSS_ steroid-injected","colitis and inflammatory intervention, hormonal intervention (mixed)","colitis and inflammatory intervention, hormonal intervention","fecal",6,NA,NA,NA,"lnRR","Song","no","yes","yes","no","treatment"
"2439",2439,"Strickland et al. 2021","Faith's PD","Sigmodon_fulviventer_Ear_day0_Control","rats","rats","ear",4,3,-0.115155961,0.069962084,"lnRR","Strickland","no","no","no","no","treatment"
"2440",2440,"Strickland et al. 2021","Faith's PD","Sigmodon_fulviventer_Ear_day28_Control","rats","rats","ear",10,3,-0.250947301,0.083370034,"lnRR","Strickland","no","no","no","no","treatment"
"2441",2441,"Strickland et al. 2021","Faith's PD","Sigmodon_fulviventer_Ear_day7_Control","rats","rats","ear",10,3,-0.170592167,0.028778248,"lnRR","Strickland","no","no","no","no","treatment"
"2442",2442,"Strickland et al. 2021","Faith's PD","Sigmodon_fulviventer_Ear_day95_Control","rats","rats","ear",10,NA,NA,NA,"lnRR","Strickland","no","no","no","no","treatment"
"2443",2443,"Strickland et al. 2021","Faith's PD","Sigmodon_fulviventer_Fecal_day0_Control","rats","rats","fecal",20,3,0.127786135,0.001918657,"lnRR","Strickland","no","no","no","no","treatment"
"2444",2444,"Strickland et al. 2021","Faith's PD","Sigmodon_fulviventer_Fecal_day111_Control","rats","rats","fecal",10,NA,NA,NA,"lnRR","Strickland","no","no","no","no","treatment"
"2445",2445,"Strickland et al. 2021","Faith's PD","Sigmodon_fulviventer_Fecal_day14_Control","rats","rats","fecal",10,3,0.28215136,0.012900784,"lnRR","Strickland","no","no","no","no","treatment"
"2446",2446,"Strickland et al. 2021","Faith's PD","Sigmodon_fulviventer_Fecal_day21_Control","rats","rats","fecal",10,3,0.049169812,0.002186144,"lnRR","Strickland","no","no","no","no","treatment"
"2447",2447,"Strickland et al. 2021","Faith's PD","Sigmodon_fulviventer_Fecal_day28_Control","rats","rats","fecal",10,3,0.037972109,0.005353127,"lnRR","Strickland","no","no","no","no","treatment"
"2448",2448,"Strickland et al. 2021","Faith's PD","Sigmodon_fulviventer_Fecal_day34_Control","rats","rats","fecal",10,NA,NA,NA,"lnRR","Strickland","no","no","no","no","treatment"
"2449",2449,"Strickland et al. 2021","Faith's PD","Sigmodon_fulviventer_Fecal_day4_Control","rats","rats","fecal",10,NA,NA,NA,"lnRR","Strickland","no","no","no","no","treatment"
"2450",2450,"Strickland et al. 2021","Faith's PD","Sigmodon_fulviventer_Fecal_day7_Control","rats","rats","fecal",10,3,0.020310389,0.001932296,"lnRR","Strickland","no","no","no","no","treatment"
"2451",2451,"Strickland et al. 2021","Faith's PD","Sigmodon_fulviventer_Nose_day0_Control","rats","rats","nose",5,3,NA,NA,"lnRR","Strickland","no","no","no","no","treatment"
"2452",2452,"Strickland et al. 2021","Faith's PD","Sigmodon_fulviventer_Nose_day28_Control","rats","rats","nose",10,3,-0.175408376,0.01831488,"lnRR","Strickland","no","no","no","no","treatment"
"2453",2453,"Strickland et al. 2021","Faith's PD","Sigmodon_fulviventer_Nose_day7_Control","rats","rats","nose",10,3,-0.19313556,0.042714227,"lnRR","Strickland","no","no","no","no","treatment"
"2454",2454,"Strickland et al. 2021","Faith's PD","Sigmodon_fulviventer_Nose_day95_Control","rats","rats","nose",10,NA,NA,NA,"lnRR","Strickland","no","no","no","no","treatment"
"2455",2455,"Strickland et al. 2021","Faith's PD","Sigmodon_fulviventer_Skin_day0_Control","rats","rats","skin",5,3,-0.220757404,0.058580937,"lnRR","Strickland","no","no","no","no","treatment"
"2456",2456,"Strickland et al. 2021","Faith's PD","Sigmodon_fulviventer_Skin_day28_Control","rats","rats","skin",10,3,NA,NA,"lnRR","Strickland","no","no","no","no","treatment"
"2457",2457,"Strickland et al. 2021","Faith's PD","Sigmodon_fulviventer_Skin_day7_Control","rats","rats","skin",10,3,NA,NA,"lnRR","Strickland","no","no","no","no","treatment"
"2458",2458,"Strickland et al. 2021","Faith's PD","Sigmodon_fulviventer_Skin_day95_Control","rats","rats","skin",9,NA,NA,NA,"lnRR","Strickland","no","no","no","no","treatment"
"2459",2459,"Strickland et al. 2021","Faith's PD","Sigmodon_hispidus_Ear_day0_Control","rats","rats","ear",NA,9,NA,NA,"lnRR","Strickland","no","no","no","no","treatment"
"2460",2460,"Strickland et al. 2021","Faith's PD","Sigmodon_hispidus_Ear_day28_Control","rats","rats","ear",5,9,-0.206154037,0.031363864,"lnRR","Strickland","no","no","no","no","treatment"
"2461",2461,"Strickland et al. 2021","Faith's PD","Sigmodon_hispidus_Ear_day7_Control","rats","rats","ear",5,9,0.077800892,0.028521184,"lnRR","Strickland","no","no","no","no","treatment"
"2462",2462,"Strickland et al. 2021","Faith's PD","Sigmodon_hispidus_Ear_day95_Control","rats","rats","ear",10,NA,NA,NA,"lnRR","Strickland","no","no","no","no","treatment"
"2463",2463,"Strickland et al. 2021","Faith's PD","Sigmodon_hispidus_Fecal_day0_Control","rats","rats","fecal",15,9,0.14954515,0.003717168,"lnRR","Strickland","no","no","no","no","treatment"
"2464",2464,"Strickland et al. 2021","Faith's PD","Sigmodon_hispidus_Fecal_day111_Control","rats","rats","fecal",10,NA,NA,NA,"lnRR","Strickland","no","no","no","no","treatment"
"2465",2465,"Strickland et al. 2021","Faith's PD","Sigmodon_hispidus_Fecal_day14_Control","rats","rats","fecal",5,9,-0.005717759,0.010574971,"lnRR","Strickland","no","no","no","no","treatment"
"2466",2466,"Strickland et al. 2021","Faith's PD","Sigmodon_hispidus_Fecal_day21_Control","rats","rats","fecal",5,9,-0.098197484,0.007508056,"lnRR","Strickland","no","no","no","no","treatment"
"2467",2467,"Strickland et al. 2021","Faith's PD","Sigmodon_hispidus_Fecal_day28_Control","rats","rats","fecal",5,9,-0.087892286,0.007583746,"lnRR","Strickland","no","no","no","no","treatment"
"2468",2468,"Strickland et al. 2021","Faith's PD","Sigmodon_hispidus_Fecal_day34_Control","rats","rats","fecal",9,NA,NA,NA,"lnRR","Strickland","no","no","no","no","treatment"
"2469",2469,"Strickland et al. 2021","Faith's PD","Sigmodon_hispidus_Fecal_day4_Control","rats","rats","fecal",10,NA,NA,NA,"lnRR","Strickland","no","no","no","no","treatment"
"2470",2470,"Strickland et al. 2021","Faith's PD","Sigmodon_hispidus_Fecal_day7_Control","rats","rats","fecal",5,9,-0.265756705,0.003350365,"lnRR","Strickland","no","no","no","no","treatment"
"2471",2471,"Strickland et al. 2021","Faith's PD","Sigmodon_hispidus_Nose_day0_Control","rats","rats","nose",NA,9,NA,NA,"lnRR","Strickland","no","no","no","no","treatment"
"2472",2472,"Strickland et al. 2021","Faith's PD","Sigmodon_hispidus_Nose_day28_Control","rats","rats","nose",5,8,0.271810329,0.035115115,"lnRR","Strickland","no","no","no","no","treatment"
"2473",2473,"Strickland et al. 2021","Faith's PD","Sigmodon_hispidus_Nose_day7_Control","rats","rats","nose",5,9,0.158404396,0.025248833,"lnRR","Strickland","no","no","no","no","treatment"
"2474",2474,"Strickland et al. 2021","Faith's PD","Sigmodon_hispidus_Nose_day95_Control","rats","rats","nose",10,NA,NA,NA,"lnRR","Strickland","no","no","no","no","treatment"
"2475",2475,"Strickland et al. 2021","Faith's PD","Sigmodon_hispidus_Skin_day0_Control","rats","rats","skin",NA,9,NA,NA,"lnRR","Strickland","no","no","no","no","treatment"
"2476",2476,"Strickland et al. 2021","Faith's PD","Sigmodon_hispidus_Skin_day28_Control","rats","rats","skin",5,9,-0.036642889,0.028051945,"lnRR","Strickland","no","no","no","no","treatment"
"2477",2477,"Strickland et al. 2021","Faith's PD","Sigmodon_hispidus_Skin_day7_Control","rats","rats","skin",5,8,-0.26741347,0.029221269,"lnRR","Strickland","no","no","no","no","treatment"
"2478",2478,"Strickland et al. 2021","Faith's PD","Sigmodon_hispidus_Skin_day95_Control","rats","rats","skin",10,NA,NA,NA,"lnRR","Strickland","no","no","no","no","treatment"
"2479",2479,"Sun et al. 2020","Faith's PD","Control","control","control","fecal",8,8,0.022347975,0.00479248,"lnRR","Sun","no","no","no","no","control"
"2480",2480,"Sun et al. 2020","Faith's PD","High fat","dietary intervention","dietary intervention","fecal",8,7,0.011115313,0.004325967,"lnRR","Sun","no","no","no","yes","treatment"
"2481",2481,"Sun et al. 2020","Faith's PD","Pomctm1/tm1","genotype (obesity)","genotype","fecal",8,8,0.182314821,0.002460667,"lnRR","Sun","yes","no","no","no","treatment"
"2482",2482,"Sun et al. 2020","Faith's PD","Pomctm1/tm1, High fat","dietary intervention, genotype (obesity)","dietary intervention, genotype","fecal",8,7,0.202118102,0.007511224,"lnRR","Sun","yes","no","no","yes","treatment"
"2483",2483,"Tam et al. 2020","Faith's PD","""Smoke exposed, ovariectomy""","smoke-exposed, hormonal intervention (neutered female)","smoke-exposed, hormonal intervention","cecal",NA,8,NA,NA,"lnRR","Tam","no","yes","no","no","treatment"
